#Data fitted with model: XFNTR on Fri May 20 12:53:07 2022
#Fixed Parameters
#----------------
#E=14.1
#topchem=He
#topden=0.000164
#botchem=I3K3H110619.569O55309.785
#botden=0.997
#element=I
#line=La1
#vslit=0.04
#detlen=10
#[[Fit Statistics]]
#    # fitting method   = least_squares
#    # function evals   = 19
#    # data points      = 11
#    # variables        = 2
#    chi-square         = 169.154381
#    reduced chi-square = 18.7949312
#    Akaike info crit   = 34.0620817
#    Bayesian info crit = 34.8578723
#[[Variables]]
#    qoff:       4.9288e-04 +/- 9.8319e-06 (1.99%) (init = 0)
#    yscale:     1.62120662 +/- 0.11541895 (7.12%) (init = 1.650831)
#    int_bg:     0 (fixed)
#    Rc:         0 (fixed)
#    sur_cov:    0 (fixed)
#    ion_depth:  0 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(qoff, yscale) = -0.205
#col_names=['x','y','yerr','yfit']
#x 	 y	 yerr 	 yfit
#
1.103979382684809434e-02 7.194405396030999782e+02 1.112114996245292389e+02 1.792020413137829848e+01
1.443602319496598702e-02 2.324554124702520710e+02 4.825994784379516034e+01 3.501561248527404047e+01
1.783224010555587574e-02 2.826978584218899186e+02 4.715506967878113898e+01 7.130569187644836404e+01
2.122927380085050039e-02 1.889093394773992486e+03 1.496103327445545119e+02 1.892972880758135943e+03
2.462545747965706050e-02 2.801010727107755520e+04 1.212843134519616797e+03 2.166994441310009279e+04
2.802162066600966117e-02 3.087813803819440727e+04 1.484481247851797207e+03 2.487108326232722538e+04
3.056831189465219339e-02 3.086595823035671856e+04 1.487957875359790933e+03 2.634836945732013555e+04
4.330569151554967272e-02 3.261594650441898921e+04 1.330121714950220849e+03 3.029963366657647930e+04
5.604257261117704531e-02 3.071210248170862542e+04 1.256251132982409672e+03 3.189377481677297328e+04
6.877881354702561345e-02 2.760708982175076017e+04 1.190207330597171676e+03 3.226918614510252155e+04
8.151510383964952200e-02 2.702300027031224818e+04 1.063362963485414411e+03 3.181977142300013293e+04
