#Data fitted with model: XFNTR on Tue May  3 12:54:47 2022
#Fixed Parameters
#----------------
#E=14.1
#topchem=He
#topden=0.000164
#botchem=I0.5K0.5H110686.292O55343.146
#botden=0.997
#element=I
#line=La1
#vslit=0.04
#detlen=10
#[[Fit Statistics]]
#    # fitting method   = least_squares
#    # function evals   = 7
#    # data points      = 11
#    # variables        = 2
#    chi-square         = 24568460.6
#    reduced chi-square = 2729828.96
#    Akaike info crit   = 164.809867
#    Bayesian info crit = 165.605658
#[[Variables]]
#    qoff:      -0.01171521 +/- 0.00105603 (9.01%) (init = -0.01180999)
#    yscale:     0.98369 (fixed)
#    int_bg:     0 (fixed)
#    Rc:         0 (fixed)
#    sur_cov:    0.06429869 +/- 0.00866802 (13.48%) (init = 0.06722054)
#    ion_depth:  0 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(qoff, sur_cov) = -0.820
#col_names=['x','y','yerr','yfit']
#x 	 y	 yerr 	 yfit
#
1.103883108039836400e-02 8.893111664026725975e+02 5.401168421096788075e-01 2.452598422923097843e+01
1.443589252057890862e-02 1.591435371163056061e+03 7.043086432225863502e-01 3.967833783404441874e+02
1.783210935664508376e-02 2.413353275805911835e+03 6.848948418634601687e-01 2.005287300784320223e+03
2.122831105718373315e-02 3.920339329081727101e+03 1.123348285084063702e+00 4.849131071347754187e+03
2.462449485666856272e-02 1.174109368502522011e+04 9.234651228210792873e-01 8.926994953711371636e+03
2.802148991027873445e-02 1.177771678234357933e+04 9.793326914044003795e-01 1.423735323216102552e+04
3.056818113736248579e-02 1.265341363250384893e+04 5.883631973978330265e+00 1.901989005634464411e+04
4.330556075133868560e-02 1.100269876802689214e+04 2.712038204008180298e+00 1.120571591734393769e+04
5.604161018949535555e-02 1.095928143155447106e+04 9.801263581140687853e-01 1.031565326611376440e+04
6.877785090723394223e-02 1.123521952683055133e+04 6.052849565217493222e+01 1.007607008017405678e+04
8.151497306342893323e-02 1.080665394536346685e+04 9.299953675124328356e-01 9.930728176999165953e+03
