#Data fitted with model: XFNTR on Thu May 19 18:58:02 2022
#Fixed Parameters
#----------------
#E=14.1
#topchem=He
#topden=0.000164
#botchem=I3K3H110619.569O55309.785
#botden=0.997
#element=I
#line=La1
#vslit=0.04
#detlen=10
#[[Fit Statistics]]
#    # fitting method   = least_squares
#    # function evals   = 17
#    # data points      = 11
#    # variables        = 2
#    chi-square         = 62.9404429
#    reduced chi-square = 6.99338255
#    Akaike info crit   = 23.1872302
#    Bayesian info crit = 23.9830208
#[[Variables]]
#    qoff:      -0.00359661 +/- 0.00111197 (30.92%) (init = 0.0005152803)
#    yscale:     0.2538896 (fixed)
#    int_bg:     0 (fixed)
#    Rc:         0 (fixed)
#    sur_cov:    0.17078683 +/- 0.02663102 (15.59%) (init = 0)
#    ion_depth:  0 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(qoff, sur_cov) = -0.942
#col_names=['x','y','yerr','yfit']
#x 	 y	 yerr 	 yfit
#
1.103979382684809434e-02 2.726522103570085619e+03 1.907398794981336039e+02 2.036093799393562904e+03
1.443602319496598702e-02 4.607020214511275299e+03 2.176432968250185809e+02 4.317175292703915147e+03
1.783307210200161044e-02 7.031075660362569579e+03 3.207446678938201217e+02 7.445169211379979060e+03
2.122927380085050039e-02 1.064893883676455516e+04 3.154852841152205087e+02 1.141598656502081576e+04
2.462545747965706050e-02 1.634706115255175609e+04 1.470289979300689083e+03 1.620651140542953362e+04
2.802162066600966117e-02 1.941390726708807415e+04 2.332368718824326606e+03 1.139719709233020149e+04
3.056831189465219339e-02 1.528545788534753592e+04 1.655118434199539251e+03 1.054670978925543022e+04
4.330569151554967272e-02 1.261900641858418749e+04 1.606570012045294334e+03 9.743348031745656044e+03
5.604257261117704531e-02 1.493305587427160572e+04 1.727819999426031245e+03 9.693339670893084985e+03
6.877881354702561345e-02 1.115207196329293947e+04 1.012748939135666888e+03 9.645908654293665677e+03
8.151510383964952200e-02 1.325374598421997871e+04 1.538746286556254063e+03 9.530811796923351721e+03
