#Data fitted with model: XFNTR on Mon May  2 12:18:20 2022
#Fixed Parameters
#----------------
#E=14.1
#topchem=He
#topden=0.000164
#botchem=I20K20H110686.292O55343.146
#botden=1.003
#element=I
#line=La1
#vslit=0.04
#detlen=10
#[[Fit Statistics]]
#    # fitting method   = least_squares
#    # function evals   = 24
#    # data points      = 11
#    # variables        = 2
#    chi-square         = 12699319.1
#    reduced chi-square = 1411035.46
#    Akaike info crit   = 157.550800
#    Bayesian info crit = 158.346591
#[[Variables]]
#    qoff:       0.00397039 +/- 1.2177e-05 (0.31%) (init = 0.00391161)
#    yscale:     0.65322202 +/- 0.03496544 (5.35%) (init = 24.71719)
#    int_bg:     0 (fixed)
#    Rc:         0 (fixed)
#    sur_cov:    0 (fixed)
#    ion_depth:  0 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(qoff, yscale) = -0.233
#col_names=['x','y','yerr','yfit']
#x 	 y	 yerr 	 yfit
#
1.103883108039836400e-02 2.172461087166776110e+02 3.071805578065275322e-01 9.476876931176141738e+01
1.443589252057890862e-02 4.681424580427236037e+02 3.622634108815790399e-01 1.929719879729789795e+02
1.783210935664508376e-02 9.006785409846464972e+03 1.718833502549475645e+00 9.005808124962271904e+03
2.122831105718373315e-02 4.803137028066070343e+04 6.208164508671954351e+00 5.439622703382925101e+04
2.462449485666856272e-02 7.401874018925963901e+04 9.438792516705579061e+00 6.283867767609273869e+04
2.802065792801739300e-02 7.758310665375585086e+04 1.024477531378311390e+01 6.797863622211401525e+04
3.056818113736248579e-02 6.703382956402360287e+04 8.465796961397437315e+00 7.087808013679241412e+04
4.330556075133868560e-02 9.434677250566902512e+04 1.121640499994129314e+01 7.958495089839120919e+04
5.604161018949535555e-02 1.042629123625003849e+05 1.252983984632291303e+01 8.308439634375332389e+04
6.877785090723394223e-02 7.797002848637133138e+04 9.388032745578332339e+00 8.351710114125312248e+04
8.151497306342893323e-02 6.515504580707794230e+04 8.908543978642208927e+00 8.178805174541191082e+04
